Ville JSON                               | Fichier dossier                         
---------------------------------------- | ----------------------------------------
Andore-la-Vieille                        | Abidjan.jpg                             
Dubaï                                    | Accra.jpg                               
Kaboul                                   | Achgabat.jpg                            
Saint John's                             | Adamstown.jpg                           
The Valley                               | Addis-Abeba.jpg                         
Saranda                                  | Alger.jpg                               
Erevan                                   | Almaty.jpg                              
Luanda                                   | Alofi.jpg                               
Port Lockroy                             | Amsterdam.jpg                           
Buenos Aires                             | Andore-la-Vieille.jpg                   
Pago Pago                                | Antigua.jpg                             
Vienne                                   | Apia.jpg                                
Sydney                                   | Asmara.jpg                              
Oranjestad                               | Asuncion.jpg                            
Mariehamn                                | Athènes.jpg                             
Bakou                                    | Auckland.jpg                            
Sarajevo                                 | Bagan.jpg                               
Bridgetown                               | Bagdad.jpg                              
Cox's Bazar                              | Bakou.jpg                               
Bruges                                   | Bali.jpg                                
Ouagadougou                              | Bamako.jpg                              
Sofia                                    | Bandar Seri Begawan.jpg                 
Manama                                   | Bangkok.jpg                             
Bujumbura                                | Bangui.jpg                              
Ganvié                                   | Basseterre.jpg                          
Gustavia                                 | Belgrade.jpg                            
Hamilton                                 | Berlin.jpg                              
Bandar Seri Begawan                      | Beyrouth.jpg                            
La Paz                                   | Bichkek.jpg                             
Willemstad                               | Bissau.jpg                              
Rio de Janeiro                           | Bogota.jpg                              
Nassau                                   | Bratislava.jpg                          
Timphou                                  | Brazzaville.jpg                         
Île Bouvet                               | Bridgetown.jpg                          
Maun                                     | Bruges.jpg                              
Minsk                                    | Bucarest.jpg                            
San Pedro                                | Budapest.jpg                            
Toronto                                  | Buenos Aires.jpg                        
West Island                              | Bujumbura.jpg                           
Kinshasa                                 | Caracas.jpg                             
Bangui                                   | Cayenne.jpg                             
Brazzaville                              | Charlotte Amalie.jpg                    
Zurich                                   | Chișinău.jpg                            
Abidjan                                  | Cockburn Town.jpg                       
Santiago                                 | Colombo.jpg                             
Douala                                   | Conakry.jpg                             
Pékin                                    | Copenhague.jpg                          
Bogota                                   | Cox's Bazar.jpg                         
San José                                 | Dakar.jpg                               
La Havane                                | Dakhla.jpg                              
Santa Maria                              | Damas.jpg                               
Willemstad                               | Dar es Salaam.jpg                       
Flying Fish Cove                         | Delhi.jpg                               
Paphos                                   | Diego Garcia.jpg                        
Prague                                   | Dili.jpg                                
Berlin                                   | Djibouti.jpg                            
Djibouti                                 | Doha.jpg                                
Copenhague                               | Douala.jpg                              
Roseau                                   | Douchanbé.jpg                           
Punta Cana                               | Douglas.jpg                             
Alger                                    | Dubaï.jpg                               
Quito                                    | Dublin.jpg                              
Tallinn                                  | Dubrovnik.jpg                           
Le Caire                                 | Erevan.jpg                              
Dakhla                                   | Fakaofo.jpg                             
Asmara                                   | Flying Fish Cove.jpg                    
Madrid                                   | Fort-de-France.jpg                      
Addis-Abeba                              | Freetown.jpg                            
Helsinki                                 | Funafuti.jpg                            
Suva                                     | Ganvié.jpg                              
Port Stanley                             | George Town.jpg                         
Kolonia                                  | Georgetown.jpg                          
Tórshavn                                 | Gibraltar.jpg                           
Paris                                    | Gros Islet.jpg                          
Libreville                               | Gustavia.jpg                            
Londres                                  | Hamilton.jpg                            
Saint-Georges                            | Hanoï.jpg                               
Tbilissi                                 | Harare.jpg                              
Cayenne                                  | Helsinki.jpg                            
Saint-Peter-Port                         | Hong Kong.jpg                           
Accra                                    | Honiara.jpg                             
Gibraltar                                | Ilulissat.jpg                           
Ilulissat                                | Ispahan.jpg                             
Kololi                                   | Istanbul.jpg                            
Conakry                                  | Jamestown.jpg                           
Pointe-à-Pitre                           | Johnston Atoll.jpg                      
Malabo                                   | Juba.jpg                                
Athènes                                  | Jérusalem.jpg                           
King Edward Point                        | Kaboul.jpg                              
Antigua                                  | Kampala.jpg                             
Tumon                                    | Karachi.jpg                             
Bissau                                   | Katmandou.jpg                           
Georgetown                               | Khartoum.jpg                            
Hong Kong                                | Kigali.jpg                              
Îles Heard-et-MacDonald                  | King Edward Point.jpg                   
